Chromosome Length: 20
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 5.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
6000;1.165940;0.960385;0.000599;1.129842;1.541178;2.033711;12.535607
7000;0.943460;0.782231;0.003936;1.016130;1.381188;1.799337;7.943181
8000;0.865360;0.751380;0.000002;0.964384;1.318583;1.716098;4.725808
9000;0.838430;0.742108;0.000000;0.946765;1.289432;1.682829;4.307149
10000;0.818830;0.739588;0.000000;0.930355;1.273252;1.659101;4.388890
11000;0.818450;0.738586;0.000000;0.929467;1.271691;1.658932;4.627680
12000;0.813360;0.739017;0.000001;0.923986;1.268346;1.651873;4.136114
13000;0.810290;0.739889;0.000000;0.918679;1.261513;1.651350;4.305533
14000;0.806350;0.738029;0.000170;0.917723;1.262292;1.647599;4.531123
15000;0.806860;0.739157;0.000000;0.917242;1.262269;1.645861;4.552800
16000;0.805310;0.736058;0.000000;0.918652;1.257970;1.640603;4.900689
17000;0.804560;0.740618;0.000000;0.918116;1.260473;1.645986;4.264565
18000;0.807720;0.739750;0.000000;0.916927;1.261698;1.651301;4.771947
19000;0.804360;0.738640;0.000000;0.916907;1.259237;1.642470;4.259115
20000;0.806610;0.737072;0.000000;0.918591;1.262302;1.647053;4.304941
21000;0.804430;0.739158;0.000000;0.914157;1.258910;1.642157;4.303601
22000;0.806560;0.738756;0.000000;0.917002;1.258056;1.644664;4.728666
23000;0.805700;0.739900;0.000000;0.916304;1.260006;1.650412;4.348141
24000;0.803220;0.739969;0.000000;0.915539;1.257270;1.644006;4.299674
25000;0.806500;0.738251;0.000000;0.919896;1.264134;1.646683;4.622716
26000;0.802980;0.739000;0.000000;0.914621;1.258995;1.642568;4.390175
27000;0.803890;0.739813;0.000000;0.914284;1.258548;1.645944;4.356114
28000;0.806380;0.738388;0.000000;0.916373;1.259756;1.646186;4.776434
29000;0.806300;0.738806;0.000000;0.918390;1.259418;1.644207;4.492933
30000;0.804760;0.738333;0.000000;0.916529;1.256263;1.641969;4.626138
31000;0.806600;0.738026;0.000000;0.917461;1.260947;1.646904;4.357766
32000;0.803380;0.739817;0.000000;0.915413;1.258602;1.644065;4.318830
33000;0.804090;0.739733;0.000000;0.916492;1.257059;1.645641;4.457491
34000;0.806070;0.739144;0.000000;0.918675;1.257829;1.647019;4.482473
35000;0.802820;0.738207;0.000000;0.915894;1.258792;1.643557;4.402672
36000;0.809560;0.737482;0.000000;0.921267;1.260630;1.645914;4.146246
37000;0.809940;0.738866;0.001050;0.918299;1.261866;1.648802;4.051464
38000;0.805820;0.736506;0.000000;0.917886;1.258666;1.641957;4.335861
39000;0.805230;0.739071;0.000000;0.917221;1.257006;1.647304;4.386797
40000;0.802250;0.739049;0.000000;0.914115;1.259726;1.641097;4.425394
41000;0.804170;0.740042;0.000000;0.916780;1.260333;1.646823;4.444486
42000;0.806260;0.740023;0.000000;0.916367;1.259999;1.648135;4.476977
43000;0.801990;0.737949;0.000000;0.912636;1.254963;1.644161;4.493980
44000;0.803970;0.739150;0.000000;0.914631;1.258071;1.641311;4.499322
45000;0.804240;0.739708;0.000000;0.915288;1.259299;1.645009;4.297392
46000;0.805730;0.739488;0.000000;0.916750;1.260451;1.647955;4.474709
